title,number,year,author,full_date,link
Tras la pantalla : galeria de artistas cinematográficos - Alice Brady,054,1921,Micromegas,1921-12-03,http://repositori.filmoteca.cat/handle/11091/27418
Tras la pantalla : galeria de artistas cinematográficos - Alla Nazimova,047,1921,Micromegas,1921-10-15,http://repositori.filmoteca.cat/handle/11091/27411
Tras la pantalla : galeria de artistas cinematográficos - Antonio Moreno,032,1921,"Santana y Benítez de León, R.",1921-07-02,http://repositori.filmoteca.cat/handle/11091/27395
Tras la pantalla : galeria de artistas cinematográficos - Carol Holloway,037,1921,"García Acuña, Miguel",1921-08-06,http://repositori.filmoteca.cat/handle/11091/27400
Tras la pantalla : galeria de artistas cinematográficos - Charles Chaplin,002,1920,Micromegas,1920-12-04,http://repositori.filmoteca.cat/handle/11091/27356
Tras la pantalla : galeria de artistas cinematográficos - Charles Ray,005,1920,Micromegas,1920-12-25,http://repositori.filmoteca.cat/handle/11091/27359
Tras la pantalla : galeria de artistas cinematográficos - Clara Kimball Young,056,1921,"Neguiri, Emilio P. de",1921-12-17,http://repositori.filmoteca.cat/handle/11091/27420
Tras la pantalla : galeria de artistas cinematográficos - Constance Talmadge,057,1921,"Rojas, Martín",1921-12-24,http://repositori.filmoteca.cat/handle/11091/27422
Tras la pantalla : galeria de artistas cinematográficos - Dorothy Dalton,022,1921,"Rojas, Martín",1921-04-23,http://repositori.filmoteca.cat/handle/11091/27382
Tras la pantalla : galeria de artistas cinematográficos - Douglas Fairbanks,003,1920,"García Acuña, Miguel",1920-12-11,http://repositori.filmoteca.cat/handle/11091/27357
Tras la pantalla : galeria de artistas cinematográficos - Eddie Polo,012,1921,Micromegas,1921-02-12,http://repositori.filmoteca.cat/handle/11091/27368
Tras la pantalla : galeria de artistas cinematográficos - Edith Johnson,059,1922,"Ruiz de Alcántara, Mario",1922-01-07,http://repositori.filmoteca.cat/handle/11091/27424
Tras la pantalla : galeria de artistas cinematográficos - Ernesto M. Pagani - Maciste (Personatge de ficció),049,1921,"García Acuña, Miguel",1921-10-29,http://repositori.filmoteca.cat/handle/11091/27413
Tras la pantalla : galeria de artistas cinematográficos - Francesca Bertini,001,1920,"Ruiz de Alcántara, Mario",1920-11-27,http://repositori.filmoteca.cat/handle/11091/27355
Tras la pantalla : galeria de artistas cinematográficos - Francis Ford,055,1921,"Montagud, Silvio H.",1921-12-10,http://repositori.filmoteca.cat/handle/11091/27419
Tras la pantalla : galeria de artistas cinematográficos - Frank Mayo,040,1921,"García Acuña, Miguel",1921-08-27,http://repositori.filmoteca.cat/handle/11091/27403
Tras la pantalla : galeria de artistas cinematográficos - Georges Carpentier,053,1921,"Neguiri, Emilio P. de",1921-11-26,http://repositori.filmoteca.cat/handle/11091/27417
Tras la pantalla : galeria de artistas cinematográficos - George Walsh,023,1921,"Montagud, Silvio H.",1921-04-30,http://repositori.filmoteca.cat/handle/11091/27383
Tras la pantalla : galeria de artistas cinematográficos - Geraldine Farrar,039,1921,"Neguiri, Emilio P. de",1921-08-20,http://repositori.filmoteca.cat/handle/11091/27402
Tras la pantalla : galeria de artistas cinematográficos - Grace Cunard,045,1921,"Rojas, Martín",1921-10-01,http://repositori.filmoteca.cat/handle/11091/27409
Tras la pantalla : galeria de artistas cinematográficos - Gustavo Serena,008,1921,Micromegas,1921-01-15,http://repositori.filmoteca.cat/handle/11091/27364
Tras la pantalla : galeria de artistas cinematográficos - Harold Lloyd,029,1921,"Ruiz de Alcántara, Mario",1921-06-11,http://repositori.filmoteca.cat/handle/11091/27389
Tras la pantalla : galeria de artistas cinematográficos - Harry Carey,042,1921,"Neguiri, Emilio P. de",1921-09-10,http://repositori.filmoteca.cat/handle/11091/27405
Tras la pantalla : galeria de artistas cinematográficos - Harry Houdini,027,1921,"Montagud, Silvio H.",1921-05-28,http://repositori.filmoteca.cat/handle/11091/27387
Tras la pantalla : galeria de artistas cinematográficos - Helen Holmes,061,1922,"Rojas, Martín",1922-01-21,http://repositori.filmoteca.cat/handle/11091/27426
Tras la pantalla : galeria de artistas cinematográficos - Henny Porten,035,1921,"Rojas, Martín",1921-07-23,http://repositori.filmoteca.cat/handle/11091/27398
Tras la pantalla : galeria de artistas cinematográficos - Hesperia,016,1921,Micromegas,1921-03-12,http://repositori.filmoteca.cat/handle/11091/27372
Tras la pantalla : galeria de artistas cinematográficos - Huguette Duflos,033,1921,"Montagud, Silvio H.",1921-07-09,http://repositori.filmoteca.cat/handle/11091/27396
Tras la pantalla : galeria de artistas cinematográficos - Jack Dempsey,051,1921,"Monteverde, Sergio",1921-11-12,http://repositori.filmoteca.cat/handle/11091/27415
Tras la pantalla : galeria de artistas cinematográficos - Jack Pickford,046,1921,"Neguiri, Emilio P. de",1921-10-08,http://repositori.filmoteca.cat/handle/11091/27410
Tras la pantalla : galeria de artistas cinematográficos - Juanita Hansen,020,1921,Micromegas,1921-04-09,http://repositori.filmoteca.cat/handle/11091/27379
Tras la pantalla : galeria de artistas cinematográficos - L. [Larry] Semon (Tomasín),062,1922,"Ruiz de Alcántara, Mario",1922-01-28,http://repositori.filmoteca.cat/handle/11091/27427
Tras la pantalla : galeria de artistas cinematográficos - León Mathot,034,1921,Micromegas,1921-07-16,http://repositori.filmoteca.cat/handle/11091/27397
Tras la pantalla : galeria de artistas cinematográficos - Mabel Normand,018,1921,"García Acuña, Miguel",1921-03-26,http://repositori.filmoteca.cat/handle/11091/27374
Tras la pantalla : galeria de artistas cinematográficos - Madge Kennedy,031,1921,"Rojas, Martín",1921-06-25,http://repositori.filmoteca.cat/handle/11091/27392
Tras la pantalla : galeria de artistas cinematográficos - Mae Murray,060,1921,"Santana y Benítez de León, R.",1922-01-14,http://repositori.filmoteca.cat/handle/11091/27425
Tras la pantalla : galeria de artistas cinematográficos - Margarita Clark,011,1921,"Rojas, Martín",1921-02-05,http://repositori.filmoteca.cat/handle/11091/27367
Tras la pantalla : galeria de artistas cinematográficos - María Jacobini,041,1921,"Rojas, Martín",1921-09-03,http://repositori.filmoteca.cat/handle/11091/27404
Tras la pantalla : galeria de artistas cinematográficos - Maria Walcamp,013,1912,"Montagud, Silvio H.",1912-02-19,http://repositori.filmoteca.cat/handle/11091/27369
Tras la pantalla : galeria de artistas cinematográficos - Mary Miles Minter,052,1921,Micromegas,1921-11-19,http://repositori.filmoteca.cat/handle/11091/27416
Tras la pantalla : galeria de artistas cinematográficos - Mary Pickford,004,1920,"Montagud, Silvio H.",1920-12-18,http://repositori.filmoteca.cat/handle/11091/27358
Tras la pantalla : galeria de artistas cinematográficos - Max Linder,010,1921,"Monteverde, Sergio",1921-01-29,http://repositori.filmoteca.cat/handle/11091/27366
Tras la pantalla : galeria de artistas cinematográficos - Mia May,063,1921,"Rojas, Martín",1921-07-01,http://repositori.filmoteca.cat/handle/11091/27430
Tras la pantalla : galeria de artistas cinematográficos - Monroe Salisbury,044,1921,"Ruiz de Alcántara, Mario",1921-09-24,http://repositori.filmoteca.cat/handle/11091/27408
Tras la pantalla : galeria de artistas cinematográficos - Norma Talmadge,026,1921,"García Acuña, Miguel",1921-05-21,http://repositori.filmoteca.cat/handle/11091/27386
Tras la pantalla : galeria de artistas cinematográficos - Ossi Oswalda,048,1921,"Montagud, Silvio H.",1921-10-22,http://repositori.filmoteca.cat/handle/11091/27412
Tras la pantalla : galeria de artistas cinematográficos - Paulina Frederick,028,1921,Micromegas,1921-06-04,http://repositori.filmoteca.cat/handle/11091/27388
Tras la pantalla : galeria de artistas cinematográficos - Pearl White,007,1921,"Ruiz de Alcántara, Mario",1921-01-08,http://repositori.filmoteca.cat/handle/11091/27362
Tras la pantalla : galeria de artistas cinematográficos - Pina Menichelli,009,1921,"Montagud, Silvio H.",1921-01-22,http://repositori.filmoteca.cat/handle/11091/27365
Tras la pantalla : galeria de artistas cinematográficos - Priscilla Dean,050,1921,"Rojas, Martín",1921-11-05,http://repositori.filmoteca.cat/handle/11091/27414
Tras la pantalla : galeria de artistas cinematográficos - René Cresté,015,1921,"Moreno y Ferry, J.",1921-03-05,http://repositori.filmoteca.cat/handle/11091/27371
"Tras la pantalla : galeria de artistas cinematográficos - Roscoe ""Fatty"" Arbuckle",017,1921,"Montagud, Silvio H.",1921-03-19,http://repositori.filmoteca.cat/handle/11091/27373
Tras la pantalla : galeria de artistas cinematográficos - Ruth Roland,043,1921,Micromegas,1921-09-17,http://repositori.filmoteca.cat/handle/11091/27406
Tras la pantalla : galeria de artistas cinematográficos - Sessue Hayakawa,021,1921,"Moreno y Ferry, J.",1921-04-16,http://repositori.filmoteca.cat/handle/11091/27381
Tras la pantalla : galeria de artistas cinematográficos - Suzanne Grandais,024,1921,Micromegas,1921-05-07,http://repositori.filmoteca.cat/handle/11091/27384
Tras la pantalla : galeria de artistas cinematográficos - Tom Mix,036,1921,"Ruiz de Alcántara, Mario",1921-30-07,http://repositori.filmoteca.cat/handle/11091/27399
Tras la pantalla : galeria de artistas cinematográficos - Tom Moore,025,1921,"Ruiz de Alcántara, Mario",1921-05-14,http://repositori.filmoteca.cat/handle/11091/27385
Tras la pantalla : galeria de artistas cinematográficos - Tullio Carminati,038,1921,"Rojas, Martín",1921-08-13,http://repositori.filmoteca.cat/handle/11091/27401
Tras la pantalla : galeria de artistas cinematográficos - Wallace Reid,014,1921,"García Acuña, Miguel",1921-02-26,http://repositori.filmoteca.cat/handle/11091/27370
Tras la pantalla : galeria de artistas cinematográficos - William Duncan,006,1921,"Rojas, Martín",1921-01-01,http://repositori.filmoteca.cat/handle/11091/27361
Tras la pantalla : galeria de artistas cinematográficos - William Farnum,030,1921,Micromegas,1921-06-18,http://repositori.filmoteca.cat/handle/11091/27391
Tras la pantalla : galeria de artistas cinematográficos - William S. Hart,019,1921,"Santana y Benítez de León, R.",1921-04-02,http://repositori.filmoteca.cat/handle/11091/27377
Tras la pantalla : galeria de artistas cinematográficos - Will Rogers,058,1921,"García Acuña, Miguel",1921-12-31,http://repositori.filmoteca.cat/handle/11091/27423
